account,kind,url,views,likes,comments,intent_comments,intent_samples,hashtags,caption,topic_match,score
ts_cloth_house,reel,https://www.instagram.com/p/DUgmD4LjneL/,22861,2854,25,0,,"tsclothhouse, wedding, groom, celebration, Reception",रुतबा बरकरार है…!  #tsclothhouse #wedding #groom #celebration #Reception,True,52026
ts_cloth_house,post,https://www.instagram.com/p/DRzrXUpDLOV/,0,4496,4,0,,"congratulations, wedding, happiness, couplelove",Congratulations 🥂 🤴🫶👸🏻  #congratulations #wedding #happiness #couplelove,True,45060
shrikant_tailors_official,reel,https://www.instagram.com/p/DQ02XM7CAaf/,37023,-1,3,0,,"wedding, weddingseason, shrikanttailors, engagementdress, receptiondress, weddingindoor, kurtapajama, navabi, indowester, traditional","मां: राजेंद्र काकडे ⚜️  Clothing :- @shrikant_tailors_official   Online Delivery  WhatsApp me : 93254 89097  Add :- Shrikant tailors ST Shop No.2 Trimurti Apartment, near Morya Complex, Mohan Nagar, Dhankawadi, Pune Maha",True,37088
shrikant_tailors_official,post,https://www.instagram.com/p/DUC7gFcjY_U/,0,3648,11,0,,"shrikanttailors, marathiwedding, punecity, viral, groom",Traditional outfit is not just attire; it’s a culture. It’s a religion itself.”✨  Clothing:- @shrikant_tailors_official  Blouse:- @needlequeenboutique   Online Delivery  WhatsApp me : 9325489097   Shoot by: @uday_lasurka,True,36755
shrikant_tailors_official,reel,https://www.instagram.com/p/DRBwofFjQHK/,36479,-1,1,0,,"wedding, weddingseason, shrikanttailors, engagementdress, receptiondress, weddingindoor, kurtapajama, navabi, indowester, traditional","New pattern ✨  Clothing :- @shrikant_tailors_official   Online Delivery  WhatsApp me : 93254 89097  Add :- Shrikant tailors ST Shop No.2 Trimurti Apartment, near Morya Complex, Mohan Nagar, Dhankawadi, Pune Maharashtra  ",True,36494
shrikant_tailors_official,post,https://www.instagram.com/p/DUm3ulfDWxM/,35097,-1,1,0,,"shrikanttailors, jodhpuri, jodhpurisuits, jodhpuricoat, happy",कसा दिसतोय 😄  Clothing:- @shrikant_tailors_official   Online Delivery  WhatsApp me : 93254 89097  #shrikanttailors #jodhpuri #jodhpurisuits #jodhpuricoat #happy,True,35112
shrikant_tailors_official,reel,https://www.instagram.com/p/DUm3ulfDWxM/,35096,-1,1,0,,"shrikanttailors, jodhpuri, jodhpurisuits, jodhpuricoat, happy",कसा दिसतोय 😄  Clothing:- @shrikant_tailors_official   Online Delivery  WhatsApp me : 93254 89097  #shrikanttailors #jodhpuri #jodhpurisuits #jodhpuricoat #happy,True,35111
shrikant_tailors_official,reel,https://www.instagram.com/p/DQ8m-jXDVO2/,29108,-1,3,0,,"shrikanttailors, kurtapajama, kurtapajamaswag, kurtaset, kurtamenfashion, styleblogger, styleoftheday, kurta_pajama, fashionshow",Pathani ⚜️  Clothing:- @shrikant_tailors_official   Online Delivery  Whatspp me : 9325489097  #shrikanttailors #kurtapajama #kurtapajamaswag #kurtaset #kurtamenfashion #styleblogger #styleoftheday #kurta_pajama #fashions,True,29173
shrikant_tailors_official,post,https://www.instagram.com/p/DUXjglLjWQr/,0,2779,11,0,,"shrikanttailors, weedingdress, weddingphotography, photoshoot, engagement","Rooted in tradition, engaged in love❤️✨  Clothing:- @shrikant_tailors_official   Featuring - @amit_sonawane_11 @aashu.d_21  Shoot by - @uday_lasurkar  Mua - @swatighodke_mua_official  Bridal blouse designed by - @needleq",True,28065
shrikant_tailors_official,post,https://www.instagram.com/p/DUcq7UqDRGw/,0,2679,8,0,,"shrikanttailors, weedingdress, weddingphotography, photoshoot, engagement",Carnival theme dress❤️✨  Clothing:- @shrikant_tailors_official   Featuring - @amit_sonawane_11 @aashu.d_21  Shoot by - @uday_lasurkar  Mua - @swatighodke_mua_official   Online Delivery  WhatsApp me : 93254 89097  #shrika,True,26990
